name,UUID,category,cmui_swatch,in_mix_mode,in_clamp,in_invert,in_debug,in_k1_mode,in_k1_color,in_k1_hcl_offset,in_g1_interp_mode,in_g1_staircase_steps,in_g1_chroma_boost,in_g1_lightness_boost,in_k2_enabled,in_k2_position,in_k2_mode,in_k2_color,in_k2_hcl_offset,in_g2_interp_mode,in_g2_staircase_steps,in_g2_chroma_boost,in_g2_lightness_boost,in_k3_enabled,in_k3_position,in_k3_mode,in_k3_color,in_k3_hcl_offset,in_g3_interp_mode,in_g3_staircase_steps,in_g3_chroma_boost,in_g3_lightness_boost,in_k4_mode,in_k4_color,in_k4_hcl_offset
Palette - Abbas,Palette-Abbas,Gradient,Swatch-Torus,0,1,0,0,0,0.0 1.0 0.941176,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.0 0.513726 0.996078,0.0 0.0 0.0
Palette - After the Rain,Palette-AftertheRain,Gradient,Swatch-Torus,0,1,0,0,0,1.0 0.458824 0.764706,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,1.0 0.65098 0.278431,0.0 0.0 0.0
Palette - Afternoon,Palette-Afternoon,Gradient,Swatch-Torus,0,1,0,0,0,0.0 0.0470588 0.25098,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.376471 0.490196 0.545098,0.0 0.0 0.0
Palette - Ali,Palette-Ali,Gradient,Swatch-Torus,0,1,0,0,0,1.0 0.294118 0.121569,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.121569 0.866667 1.0,0.0 0.0 0.0
Palette - Alihossein,Palette-Alihossein,Gradient,Swatch-Torus,0,1,0,0,0,0.968627 1.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.858824 0.211765 0.643137,0.0 0.0 0.0
Palette - Alive,Palette-Alive,Gradient,Swatch-Torus,0,1,0,0,0,0.796078 0.207843 0.419608,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.741176 0.247059 0.196078,0.0 0.0 0.0
Palette - Almost,Palette-Almost,Gradient,Swatch-Torus,0,1,0,0,0,0.866667 0.839216 0.952941,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.980392 0.67451 0.658824,0.0 0.0 0.0
Palette - Ameena,Palette-Ameena,Gradient,Swatch-Torus,0,1,0,0,0,0.0470588 0.0470588 0.427451,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.870588 0.317647 0.168627,0.0 0.0 0.0
Palette - Amethyst,Palette-Amethyst,Gradient,Swatch-Torus,0,1,0,0,0,0.615686 0.313726 0.733333,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.431373 0.282353 0.666667,0.0 0.0 0.0
Palette - Amin,Palette-Amin,Gradient,Swatch-Torus,0,1,0,0,0,0.556863 0.176471 0.886275,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.290196 0.0 0.878431,0.0 0.0 0.0
Palette - Anamnisar,Palette-Anamnisar,Gradient,Swatch-Torus,0,1,0,0,0,0.592157 0.588235 0.941176,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.984314 0.780392 0.831373,0.0 0.0 0.0
